EMD_no_norm_arc	file_origin	denominator	marker	median_diff_no_norm_arc_compare_from_vs_to	median_no_norm_arc_compare_from	median_no_norm_arc_compare_to
0.090572986	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	89Y_pHH3	0	0	0
-0.836724619	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	127I_IdU	-0.014858956	0	0.014858956
-0.257441354	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	142Nd_cCaspase 3	-0.266354561	2.010473728	2.276828289
3.455085693	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	144Nd_Lysozyme	3.524436951	3.938999176	0.414562106
-1.100170649	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	145Nd_FABP1	-1.129104018	1.256595969	2.385699987
-1.690297065	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	150Nd_pRB	-2.643535137	0.232169181	2.875704288
-0.357873187	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	162Dy_LRIG1	-0.364072621	0.524807572	0.888880193
-0.240919035	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	171Yb_CLCA1	-0.732188582	0	0.732188582
0.121516094	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	173Yb_DCAMKL1	0	0	0
-0.48816416	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	174Yb_CHGA	-0.033404417	0	0.033404417
0.422873306	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	175Lu_CD44	0	0	0
-0.347473457	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	113In_EpCAM	-0.351551294	2.077052593	2.428603888
-0.848960048	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	115In_Pan-CK	-0.980190992	1.882992506	2.863183498
-0.223550186	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	130Te_TePhe	-0.138379455	1.06384635	1.202225804
-0.500458024	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	141Pr_pPDPK1	-0.568583488	1.5613029	2.129886389
-0.278466356	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	143Nd_C-MYC	-0.315632403	0.660529375	0.976161778
-0.498353549	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	146Nd_pMKK4_SEK1	-0.529656231	0.772175968	1.301832199
-0.761251876	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	147Sm_pBTK	-0.860927582	1.731444597	2.592372179
-0.458685044	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	148Nd_pSRC	-0.523534179	1.340371728	1.863905907
-0.779873701	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	149Sm_p4E-BP1	-1.019145966	0.671431184	1.690577149
-0.884497651	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	151Eu_pPKCa	-1.168032169	0.25270015	1.42073226
-0.663526676	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	152Sm_pAKT T308	-0.777780473	0.375331461	1.153111935
-0.721519315	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	153Eu_pCREB	-0.903308392	0.485149503	1.388457894
0.107108462	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	154Sm_pSMAD1_5_9	0.025239646	0.986081421	0.960841775
-0.340306132	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	155Gd_pAKT S473	-0.412885904	0.504507184	0.917393088
-0.688324767	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	156Gd_pNF-kB p65	-0.822627544	1.512435198	2.335062742
-0.436088756	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	157Gd_pMKK3_MKK6	-0.506288171	1.567866921	2.074155092
-1.255147934	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	158Gd_pP38 MAPK	-1.544489145	1.521050453	3.065539598
-0.886982698	"Lysozyme+, pRB-, CD44- (Paneth Gate 4)_revision"	Ungated	159Tb_pMAPKAPK2	-1.039129972	0.916773677	1.955903649
