arcsinh_cutoff=3_num_outliers_total	arcsinh_cutoff=3_num_outliers_x	arcsinh_cutoff=3_num_outliers_y	arcsinh_cutoff=4_num_outliers_total	arcsinh_cutoff=4_num_outliers_x	arcsinh_cutoff=4_num_outliers_y	arcsinh_cutoff=5_num_outliers_total	arcsinh_cutoff=5_num_outliers_x	arcsinh_cutoff=5_num_outliers_y	cell_type	condition	fcs_filename	file_origin	marker_x	marker_y	no-arcsinh_cutoff=3_num_outliers_total	no-arcsinh_cutoff=3_num_outliers_x	no-arcsinh_cutoff=3_num_outliers_y	no-arcsinh_cutoff=4_num_outliers_total	no-arcsinh_cutoff=4_num_outliers_x	no-arcsinh_cutoff=4_num_outliers_y	no-arcsinh_cutoff=5_num_outliers_total	no-arcsinh_cutoff=5_num_outliers_x	no-arcsinh_cutoff=5_num_outliers_y	num_of_cells	with_outliers_arcsinh_DREMI_score	with_outliers_no-arcsinh_DREMI_score	wo_outliers_arcsinh_cutoff=3_std_DREMI_score	wo_outliers_arcsinh_cutoff=4_std_DREMI_score	wo_outliers_arcsinh_cutoff=5_std_DREMI_score	wo_outliers_no-arcsinh_cutoff=3_std_DREMI_score	wo_outliers_no-arcsinh_cutoff=4_std_DREMI_score	wo_outliers_no-arcsinh_cutoff=5_std_DREMI_score
239	239	0	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	141Pr_pPDK1	280	38	245	61	34	27	36	33	3	23018	0.153896526	0.026291717	0.115774169	0.157567558	0.171476687	0.044757742	0.045162334	0.066178035
259	239	20	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	142Nd_cCaspase 3	473	38	435	310	34	276	214	33	181	23018	0.157123557	0.075985376	0.080584249	0.096891022	0.12742618	0.165013181	0.165332145	0.177776301
260	239	21	68	67	1	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	143Nd_C-MYC	338	38	300	144	34	110	90	33	57	23018	0.086318921	0.101141239	0.055982397	0.07504081	0.091460566	0.039804386	0.052887257	0.068325239
244	239	5	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	144Nd_pMEK1_2	271	38	236	102	34	69	70	33	38	23018	0.12382664	0.101794391	0.084989304	0.120560578	0.149846569	0.040417774	0.053113772	0.070705227
240	239	8	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	146Nd_pMKK4_SEK1	276	38	262	103	34	88	53	33	38	23018	0.259531088	0.127824744	0.086458426	0.111818976	0.130235865	0.041386994	0.051906313	0.072845186
239	239	0	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	147Sm_pBTK1	390	38	354	128	34	96	51	33	19	23018	0.123765803	0.043684104	0.118301155	0.142306871	0.164086503	0.037512242	0.041608008	0.060233229
240	239	1	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	148Nd_pSRC	441	38	406	184	34	152	81	33	49	23018	0.122481181	0.116222532	0.091836322	0.112394098	0.142871915	0.039879874	0.047463635	0.059881142
239	239	0	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	149Sm_p4E-BP1	444	38	407	160	34	126	72	33	39	23018	0.13294864	0.043092404	0.074656623	0.11798757	0.133473434	0.034027446	0.038770335	0.056492001
239	239	0	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	150Nd_pRB	424	38	397	204	34	179	104	33	76	23018	0.137670379	0.0756612	0.065233709	0.089494769	0.102824205	0.05153498	0.06596026	0.077805391
243	239	4	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	151Eu_pPKCa	289	38	272	113	34	92	66	33	42	23018	0.244321886	0.146229587	0.070064255	0.099547185	0.12770585	0.05134317	0.057970233	0.07771766
241	239	25	67	67	8	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	152Sm_pAKT T308	124	38	118	47	34	44	37	33	33	23018	0.429346709	0.255178668	0.064329131	0.081997801	0.094352258	0.061165348	0.084548746	0.107517746
239	239	0	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	153Eu_pCREB	370	38	333	152	34	118	86	33	53	23018	0.107686508	0.046540818	0.074773162	0.093368508	0.121677024	0.041225287	0.051571292	0.069140236
242	239	3	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	154Sm_pSMAD1_5_9	340	38	302	112	34	78	54	33	21	23018	0.084170924	0.082530798	0.058259077	0.075760646	0.097918317	0.041061749	0.053219218	0.071035096
239	239	0	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	155Gd_pAKT S473	375	38	338	126	34	92	57	33	24	23018	0.070696967	0.023682246	0.086328826	0.101860406	0.105836829	0.028537152	0.040367097	0.058216577
239	239	0	67	67	0	49	49	0	epithelial-cell-type	cond-tobis-02	epithelial-cell-type_cond-tobis-02.fcs	epithelial-cell-type_cond-tobis-02.fcs	89Y_pHH3	156Gd_pNF-kB	410	38	374	174	34	141	108	33	76	23018	0.122357062	0.07800718	0.081319633	0.10789503	0.126622702	0.049237425	0.057905493	0.075987382
